statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;17,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;6,2;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;14;Sachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;18,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;17,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;04;Bremen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;10,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;05;Nordrhein-Westfalen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;7,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;06;Hessen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;4,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;02;Hamburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;6,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;8,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;06;Hessen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;4,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
